active_addresses,day
624627,2024-01-01 00:00:00.000 UTC
550845,2024-01-02 00:00:00.000 UTC
677057,2024-01-03 00:00:00.000 UTC
675008,2024-01-04 00:00:00.000 UTC
645933,2024-01-05 00:00:00.000 UTC
572160,2024-01-06 00:00:00.000 UTC
510039,2024-01-07 00:00:00.000 UTC
534010,2024-01-08 00:00:00.000 UTC
618467,2024-01-09 00:00:00.000 UTC
605994,2024-01-10 00:00:00.000 UTC
664878,2024-01-11 00:00:00.000 UTC
596692,2024-01-12 00:00:00.000 UTC
715185,2024-01-13 00:00:00.000 UTC
616603,2024-01-14 00:00:00.000 UTC
568801,2024-01-15 00:00:00.000 UTC
569683,2024-01-16 00:00:00.000 UTC
647469,2024-01-17 00:00:00.000 UTC
678146,2024-01-18 00:00:00.000 UTC
627718,2024-01-19 00:00:00.000 UTC
656528,2024-01-20 00:00:00.000 UTC
621584,2024-01-21 00:00:00.000 UTC
620800,2024-01-22 00:00:00.000 UTC
600772,2024-01-23 00:00:00.000 UTC
564399,2024-01-24 00:00:00.000 UTC
573765,2024-01-25 00:00:00.000 UTC
683718,2024-01-26 00:00:00.000 UTC
718168,2024-01-27 00:00:00.000 UTC
731737,2024-01-28 00:00:00.000 UTC
697323,2024-01-29 00:00:00.000 UTC
687546,2024-01-30 00:00:00.000 UTC
622141,2024-01-31 00:00:00.000 UTC
680096,2024-02-01 00:00:00.000 UTC
691808,2024-02-02 00:00:00.000 UTC
668269,2024-02-03 00:00:00.000 UTC
539396,2024-02-04 00:00:00.000 UTC
525378,2024-02-05 00:00:00.000 UTC
521337,2024-02-06 00:00:00.000 UTC
640780,2024-02-07 00:00:00.000 UTC
547078,2024-02-08 00:00:00.000 UTC
615934,2024-02-09 00:00:00.000 UTC
637410,2024-02-10 00:00:00.000 UTC
558690,2024-02-11 00:00:00.000 UTC
649037,2024-02-12 00:00:00.000 UTC
589285,2024-02-13 00:00:00.000 UTC
586547,2024-02-14 00:00:00.000 UTC
612858,2024-02-15 00:00:00.000 UTC
613010,2024-02-16 00:00:00.000 UTC
590228,2024-02-17 00:00:00.000 UTC
563860,2024-02-18 00:00:00.000 UTC
617451,2024-02-19 00:00:00.000 UTC
638562,2024-02-20 00:00:00.000 UTC
630338,2024-02-21 00:00:00.000 UTC
642154,2024-02-22 00:00:00.000 UTC
679758,2024-02-23 00:00:00.000 UTC
591314,2024-02-24 00:00:00.000 UTC
607476,2024-02-25 00:00:00.000 UTC
