date,net_out_usd,token_symbol,total_in_usd,total_out_usd
2024-01-01,1144209.429157991,DOGE,224228.9228033132,1368438.3519613042
2024-01-02,-552204.1669066114,DOGE,1413091.859406329,860887.6924997176
2024-01-03,-2065119.7269253177,DOGE,2830384.9033151288,765265.1763898112
2024-01-04,1282591.3521628573,DOGE,2012488.887899739,3295080.2400625963
2024-01-05,-150880.82561792736,DOGE,688885.4942547804,538004.668636853
2024-01-06,121641.3298768517,DOGE,147042.79894028866,268684.12881714036
2024-01-07,137007.46855255426,DOGE,755755.756954826,892763.2255073802
2024-01-08,-88758.59812499466,DOGE,329601.71051922283,240843.11239422817
2024-01-09,-307598.2840023482,DOGE,613085.736129614,305487.45212726574
2024-01-10,357884.500728949,DOGE,336425.5720194606,694310.0727484096
2024-01-11,672855.755553919,DOGE,690488.409146327,1363344.164700246
2024-01-12,-224934.94947232748,DOGE,1084300.2603500974,859365.31087777
2024-01-13,-9995.036070825765,DOGE,272925.1255402973,262930.08946947154
2024-01-14,-43836.47558725215,DOGE,263988.93349175446,220152.4579045023
2024-01-15,600932.4951475868,DOGE,101588.32901752344,702520.8241651102
2024-01-16,190304.43545905765,DOGE,190824.14811303807,381128.5835720957
2024-01-17,-341250.12051794387,DOGE,711585.8389941446,370335.7184762007
2024-01-18,-327196.34914167685,DOGE,551644.478296288,224448.1291546112
2024-01-19,182758.49559410266,DOGE,687135.7444240603,869894.240018163
2024-01-20,-141026.8872420938,DOGE,993750.4731824633,852723.5859403695
2024-01-21,-44088.47871588392,DOGE,634184.3729783536,590095.8942624697
2024-01-22,144156.7628911311,DOGE,760367.1327501755,904523.8956413066
2024-01-23,230255.7334759802,DOGE,171238.3323790659,401494.0658550461
2024-01-24,119420.80786100065,DOGE,231137.1787942811,350557.98665528174
2024-01-25,-90777.36000987938,DOGE,212856.6938715743,122079.33386169492
2024-01-26,146815.5769514768,DOGE,185500.1579140533,332315.7348655301
2024-01-27,122418.34994168105,DOGE,119865.6946940881,242284.04463576915
2024-01-28,-21237.803779441863,DOGE,294784.1113162032,273546.30753676133
2024-01-29,-12407.286683127517,DOGE,663477.1104290567,651069.8237459292
2024-01-30,68653.8524457874,DOGE,526260.3230604094,594914.1755061968
2024-01-31,-17618.521516888286,DOGE,555351.2525866933,537732.731069805
2024-02-01,-71993.28459944407,DOGE,349357.4717413641,277364.18714192003
2024-02-02,-27121.71506248595,DOGE,191316.92328130317,164195.20821881722
2024-02-03,-44509.065460241865,DOGE,247352.87799434818,202843.8125341063
2024-02-04,17060.329641210454,DOGE,94264.96644224944,111325.29608345989
2024-02-05,-116006.35934881931,DOGE,190544.2467726596,74537.88742384028
2024-02-06,-164364.48540366173,DOGE,232519.6801146938,68155.19471103205
2024-02-07,-139762.44738060128,DOGE,185487.37083876316,45724.92345816188
2024-02-08,-113931.4391921151,DOGE,1745033.7762720655,1631102.3370799504
2024-02-09,-193202.27682109247,DOGE,789599.1599804338,596396.8831593413
2024-02-10,46255.15769303922,DOGE,269179.96726775664,315435.12496079586
2024-02-11,21342.4164109853,DOGE,79033.03707427879,100375.4534852641
2024-02-12,-77082.96307258302,DOGE,460906.6321784137,383823.66910583066
2024-02-13,109.9766790769936,DOGE,244333.8566235899,244443.8333026669
2024-02-14,-489133.34614787216,DOGE,1294125.5532190115,804992.2070711394
2024-02-15,-525476.9854530003,DOGE,1901196.137401873,1375719.1519488727
2024-02-16,-70375.12045067939,DOGE,481415.75985717407,411040.6394064947
2024-02-17,11213.647893427522,DOGE,216728.93775553835,227942.58564896588
2024-02-18,-244993.2195437458,DOGE,454567.5536808713,209574.33413712552
2024-02-19,-463229.98999137676,DOGE,1342814.8392140327,879584.849222656
