date,symbol,asset_type,open,high,low,close,volume
2024-01-01,BTC-USD,crypto,42276.34,44122.03,42227.99,44122.03,25446134905.26736
2024-01-02,BTC-USD,crypto,44179.5,45846.21,44179.5,44957.63,46593616092.15278
2024-01-03,BTC-USD,crypto,44944.83,45474.95,40931.46,42818.03,99124375067.69098
2024-01-04,BTC-USD,crypto,42845.26,44664.55,42635.44,44188.15,163905349005.13196
2024-01-05,BTC-USD,crypto,44168.03,44229.51,43142.74,44112.11,142446432011.0521
2024-01-06,BTC-USD,crypto,44145.12,44180.03,43454.05,43941.78,116258879408.92361
2024-01-07,BTC-USD,crypto,43966.93,44442.83,43625.9,43850.46,96328651324.82639
2024-01-08,BTC-USD,crypto,43923.68,47200.03,43260.51,46900.01,122271995738.0
2024-01-09,BTC-USD,crypto,46951.07,47842.37,45412.61,46082.08,111771707928.25694
2024-01-10,BTC-USD,crypto,46106.95,47629.98,44632.42,46564.21,62473093954.77778
2024-01-11,BTC-USD,crypto,46639.46,48853.77,45699.32,46356.96,86342160205.33333
2024-01-12,BTC-USD,crypto,46342.02,46416.33,41903.92,42896.05,64928724108.979164
2024-01-13,BTC-USD,crypto,42797.5,43250.08,42463.07,42840.02,59386885600.34722
2024-01-14,BTC-USD,crypto,42847.96,43054.18,41737.9,41737.9,25534697690.21875
2024-01-15,BTC-USD,crypto,41746.55,43369.82,41746.55,42611.43,33261581208.305557
2024-01-16,BTC-USD,crypto,42523.93,43525.03,42090.04,43137.2,35476803078.46181
2024-01-17,BTC-USD,crypto,43137.99,43188.0,42259.96,42764.71,37465467149.12153
2024-01-18,BTC-USD,crypto,42777.87,42916.99,40751.17,41296.92,33298896660.055557
2024-01-19,BTC-USD,crypto,41316.12,42186.01,40336.03,41627.16,43162587574.993034
2024-01-20,BTC-USD,crypto,41659.07,41857.38,41467.97,41668.99,34880561427.47569
2024-01-21,BTC-USD,crypto,41696.07,41864.33,41530.03,41549.91,17460482792.76736
2024-01-22,BTC-USD,crypto,41580.35,41685.73,39516.98,39516.98,28953952802.552082
2024-01-23,BTC-USD,crypto,39567.96,40166.68,38604.83,39873.77,47245661174.88194
2024-01-24,BTC-USD,crypto,39904.06,40538.01,39571.64,40145.83,41582556190.395836
2024-01-25,BTC-USD,crypto,40085.18,40278.07,39579.43,39929.16,30611272945.243057
2024-01-26,BTC-USD,crypto,39961.1,42205.19,39829.36,41866.1,32727132166.552082
2024-01-27,BTC-USD,crypto,41814.0,42190.01,41473.93,42112.7,33456456024.32986
2024-01-28,BTC-USD,crypto,42098.02,42834.18,41696.43,42018.7,23994200912.28125
2024-01-29,BTC-USD,crypto,42031.02,43283.58,41847.34,43269.41,27591401455.65625
2024-01-30,BTC-USD,crypto,43302.73,43791.13,42811.98,42915.56,35745948974.37153
2024-01-31,BTC-USD,crypto,42945.4,43741.81,42287.98,42611.24,36387883734.604164
2024-02-01,BTC-USD,crypto,42587.2,43239.64,41932.02,43069.45,39191696926.06944
2024-02-02,BTC-USD,crypto,43082.94,43424.42,42629.75,43189.15,33012863715.56597
