symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
NVDA,2025-10-31,2025-11-19,None,1.24,0,None
NVDA,2025-07-31,2025-08-27,1.05,1.01,0.04,3.9604
NVDA,2025-04-30,2025-05-28,0.81,0.75,0.06,8
NVDA,2025-01-31,2025-02-26,0.89,0.85,0.04,4.7059
NVDA,2024-10-31,2024-11-20,0.81,0.75,0.06,8
NVDA,2024-07-31,2024-08-28,0.68,0.63,0.05,7.9365
NVDA,2024-04-30,2024-05-22,0.612,0.559,0.053,9.4812
NVDA,2024-01-31,2024-02-21,0.516,0.461,0.055,11.9306
NVDA,2023-10-31,2023-11-21,0.402,0.336,0.066,19.6429
NVDA,2023-07-31,2023-08-23,0.27,0.207,0.063,30.4348
NVDA,2023-04-30,2023-05-24,0.109,0.092,0.017,18.4783
NVDA,2023-01-31,2023-02-22,0.088,0.081,0.007,8.642
